Time,Synapse,Weight,Change
0.060015,1,218.868617525254,-0.131325529504835
1.047015,1,216.026768839173,-0.103711151356237
1.051015,1,215.914442529688,-0.112289483976951
1.055015,1,215.793542711582,-0.120853688348376
1.059015,1,215.664083854616,-0.129402745480945
1.063015,1,215.526081446923,-0.13793563943301
1.067015,1,215.37955199192,-0.146451357511637
1.071015,1,215.224513005018,-0.154948890473236
1.075015,1,215.060983010131,-0.163427232722711
1.079015,1,214.88898153599,-0.171885382511732
1.083015,1,214.708529112255,-0.180322342136179
1.087015,1,214.519647265432,-0.188737118131968
1.091015,1,214.322358514591,-0.197128721470193
1.095015,1,214.116686366895,-0.205496167750681
1.099015,1,213.902655312927,-0.213838477394461
0.801015,2,209.630545603917,-0.106926225167626
0.805015,2,209.515259553116,-0.115243589387461
0.809015,2,209.391661069772,-0.123546496206046
0.813015,2,209.259764942371,-0.131833958623133
0.817015,2,209.119586945766,-0.140104992743773
0.821015,2,208.971143838039,-0.148358617972718
0.825015,2,208.814453357158,-0.156593857208463
0.829015,2,208.649534217446,-0.164809737035682
0.833015,2,208.476406105856,-0.173005287917334
0.837015,2,208.295089678054,-0.181179544384918
0.296015,3,218.244184071318,-0.100412866736832
0.298015,3,218.139430186727,-0.10472540779287
0.300015,3,218.030365931481,-0.10903151798297
0.302015,3,217.916997822093,-0.113330942333249
0.304015,3,217.799332629914,-0.117623426538813
0.306015,3,217.677377380464,-0.12190871698877
0.308015,3,217.551139352726,-0.126186560791297
0.310015,3,217.420626078425,-0.130456705798537
0.312015,3,217.28584534128,-0.134718900631299
0.314015,3,217.146805176229,-0.13897289470367
0.316015,3,217.003513868632,-0.143218438247629
0.318015,3,216.855979953444,-0.147455282337518
0.320015,3,216.704212214375,-0.151683178914311
0.322015,3,216.548219683011,-0.155901880809722
0.324015,3,216.388011637923,-0.160111141770471
0.326015,3,216.223597603747,-0.164310716482049
0.328015,3,216.054987350236,-0.168500360592645
0.330015,3,215.882190891299,-0.17267983073674
0.332015,3,215.705218484003,-0.176848884558751
0.334015,3,215.524080627565,-0.181007280736367
0.336015,3,215.338788062308,-0.18515477900371
0.338015,3,215.149351768603,-0.189291140174788
1.297015,3,212.355901202083,-0.101948823885579
1.301015,3,212.24548361445,-0.110381387888083
1.305015,3,212.126638204842,-0.118800063717657
1.309015,3,211.999379197139,-0.127203849700152
1.313015,3,211.863721816292,-0.135591747157434
1.317015,3,211.719682285279,-0.143962760604921
1.321015,3,211.567277821878,-0.152315897948768
1.325015,3,211.406526635234,-0.160650170681549
1.329015,3,211.237447922232,-0.168964594077323
1.333015,3,211.060061863679,-0.177258187385604
1.337015,3,210.874389620288,-0.185529974023893
0.685015,4,213.534759659772,-0.394716747258798
0.689015,4,213.13153879446,-0.402480730257309
0.693015,4,212.720570344117,-0.410197236170575
0.697015,4,212.301902093057,-0.417865433097006
0.701015,4,211.875582655556,-0.42548449850625
0.705015,4,211.441661466446,-0.433053619384708
0.709015,4,211.00018877157,-0.440571992378551
0.713015,4,210.551215618086,-0.448038823934212
0.717015,4,210.094793844639,-0.455453330436171
